OBJECTID,SITE_NAME,SUB_NAME,ADDRESS,LOCATION_DETAIL,CITY,STATE,ZIP_CODE,PHONE,PHONE_EXTENSION,ADDTL_INFO
20,PENNSYLVANIA HOSPITAL,WOOD CLINIC,700 SPRUCE ST,SUITE 304,PHILADELPHIA,PA,19106,215-829-3521,,
21,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER 10,2230 COTTMAN AVE,,PHILADELPHIA,PA,19149,215-685-0639,,
22,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER 2,1700 S BROAD ST,,PHILADELPHIA,PA,19145,215-685-1803,,
23,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER 3,555 S 43RD ST,,PHILADELPHIA,PA,19104,215-685-7504,,
24,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER 4,4400 HAVERFORD AVE,,PHILADELPHIA,PA,19104,215-685-7601,,
25,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER 5,1900 N 20TH ST,,PHILADELPHIA,PA,19121,215-685-2933,,
26,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER 6,321 W GIRARD AVE,,PHILADELPHIA,PA,19123,215-685-3803,,
27,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,HEALTH CENTER 9,131 E CHELTEN AVE,,PHILADELPHIA,PA,19144,215-685-5701,,
28,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,STRAWBERRY MANSION HEALTH CENTER,2840 W DAUPHIN ST,,PHILADELPHIA,PA,19132,215-685-2401,,
29,PHILADELPHIA FIGHT,JONATHAN LAX TREATMENT CENTER,1233 LOCUST ST,SUITE 500,PHILADELPHIA,PA,19107,215-790-1788,,
30,PHMC,CARE CLINIC,1200 CALLOWHILL ST,SUITE 101,PHILADELPHIA,PA,19123,215-825-8220,,
31,ST CHRISTOPHER'S HOSPITAL FOR CHILDREN,DOROTHY MANN CENTER FOR PEDIATRIC & ADOLESCENT HIV,160 E ERIE AVE,,PHILADELPHIA,PA,19134,215-427-5284,,Patients 0 to 24 years of age
32,TEMPLE UNIVERSITY,COMPREHENSIVE HIV PROGRAM,1316 W ONTARIO ST,"JONES HALL, 1ST FL",PHILADELPHIA,PA,19140,215-707-2401,,
33,THOMAS JEFFERSON UNIVERSITY,JEFFERSON INFECTIOUS DISEASES,1015 CHESTNUT ST,SUITE 1020,PHILADELPHIA,PA,19107,215-955-7785,,
34,UNIVERSITY OF PENNSYLVANIA,PENN COMMUNITY PRACTICE CLINIC,3910 POWELTON AVE,2ND FL,PHILADELPHIA,PA,19104,215-662-9908,,
35,URBAN SOLUTIONS,,1408 S BROAD ST,,PHILADELPHIA,PA,19146,215-755-6462,,
