OBJECTID,TENCODE,ADDRESS,OWNER1,OWNER2,BLDG_CODE,BLDG_DESC,BRT_ID,GROSS_AREA,YEAR,SEASON,VL_NUM,NUMPARCELS,SQ_FT,TREES_NUM,TARGETAREA,GROUP_,GRID,CCD,CCD_PERSON,ADDR_RANGE,ZIPCODE,Shape__Area,Shape__Length
11,8791002301,2301 N 06TH ST,JOSEPH SALAMON, ,SR,VAC LAND RES < ACRE,191373000,2462,2004,Spring,VL0490EN,1,2448,0,Eastern North,,278,7,Maria Quinones-Sanchez,2301 N 6TH STREET,19133,2488.34906005859,312.072242254975
12,5964001930,1930 N NEWKIRK ST,SOLARI MAIER, ,SR,VAC LAND RES < ACRE,323222100,649,2016,Fall,VL3495NC_CLP,2,1326,0,NORTH CENTRAL,,276,5,Darrell L. Clarke,1930 -1932 N NEWKIRK ST,19121,649.582275390625,123.051113983058
13,8832001414,1414 N 27TH ST,THE CITY OF PHILA,DEPT PUB PROP,SR,VAC LAND RES < ACRE,292060310,608,2006,Fall,VL0885BR-A,7,4400,5,North Central,,290,5,Darrell L. Clarke,1406-1418 N 27TH STREET,19121,590.601379394531,106.723710857728
14,8828002042,2042 N 25TH ST,CITY OF PHILADELPHIA, ,SR,VAC LAND RES < ACRE,322182300,1120,2010,Spring,VL1730NC,2,2220,1,North Central,,276,5,Darrell L. Clarke,2040-2042 N 25TH STREET,19121,1121.11071777344,170.472262561572
15,3498002249,2249 N FRANKLIN ST,LLOYD GAIL, ,SR,VAC LAND COMM. < ACRE,371079001,1005,2015,Fall,VL3133EN_R_CLP,10,7920,0,CHOICE NEIGHBORHOOD,,278,5,Darrell L. Clarke,"2220-44 N 7TH ST; 2243-51 N FRANKLIN ST",19133,1050.52368164063,165.968851595621
16,8840001731,1731 N 31ST ST,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,324195300,877,2003,Spring,VL0192NCSM,10,13472,13,North Central,,276,5,Darrell L. Clarke,"1709-1721, 1727-1731 N 31ST STREET; 3100 CLIFFORD STREET",19121,919.644897460938,151.297245264987
17,5676000543,543 W MONTGOMERY AVE,PHILA HOUSING AUTHORITY, ,SR,VAC LAND RES < ACRE,183031001,970,2008,Fall,VL1557EN,11,10713,7,Eastern North,,292,7,Maria Quinones-Sanchez,523-543 W MONTGOMERY AVENUE,19122,933.649597167969,138.949736960009
18,8793002130,2130 N 07TH ST,CITY OF PHILA,DEPT OF PUBLIC PROP,SR,VAC LAND RES < ACRE,202034601,1028,2011,Spring,VL1958EN,6,6885,3,Eastern North,,278,5,Darrell L. Clarke,2126-2136 N 7TH STREET,19122,1034.79998779297,174.393821166054
19,2736001958,1958 N DARIEN ST,JOSEPH SPROUL,RUTH,SR,VAC LAND RES < ACRE,202139500,528,2004,Spring,VL0279EN,20,26655,0,Eastern North,,278,5,Darrell L. Clarke,"1942-1944; 1948-1950; 1956-1960 N DARIEN STREET; 
806-818 W NORRIS STREET; 1933*",19122,524.513916015625,111.194854548742
20,8840001820,1820 N 31ST ST, , ,SR, ,323290100,0,2004,Spring,VL0327NC,6,4651,5,North Central,,276,5,Darrell L. Clarke,1814-1832 N 31ST STREET,19121,962.945434570313,157.73981452517
21,7568000926,926 W SUSQUEHANNA AVE,WILLIS CHARLES, ,SR,VAC LAND RES < ACRE,201098900,990,2007,Spring,VL1066NC,4,4090,0,Eastern North,,278,5,Darrell L. Clarke,920-926 W SUSQUEHANNA AVENUE,19122,1027.18115234375,164.55048648315
22,5386001711,1711 N MARSHALL ST,HOWELL FLORINE,CHARLES MARGARET,SR,VAC LAND RES < ACRE,201127300,784,2011,Spring,VL1973EN,5,3657,2,Eastern North,,292,5,Darrell L. Clarke,1703-1711 N MARSHALL STREET,19122,784.582702636719,134.6941366047
23,8840001818,1818 N 31ST ST, , ,SR, ,323290001,0,2004,Spring,VL0327NC,6,4651,5,North Central,,276,5,Darrell L. Clarke,1814-1832 N 31ST STREET,19121,984.502990722656,158.348879691243
24,5676003224,3224 W MONTGOMERY AVE,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,324084100,1500,2011,Spring,VL1864NC,1,1782,0,North Central,,276,5,Darrell L. Clarke,3224 W MONTGOMERY AVENUE,19121,1565.82855224609,234.000885708604
25,8832001436,1436 N 27TH ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,292061110,608,2006,Fall,VL0886BR-A,4,1924,2,North Central,,290,5,Darrell L. Clarke,1434-1440 N 27TH STREET,19121,607.368347167969,107.881839416847
26,2201000602,602 CECIL B MOORE AVE,VALETINE AURORA, ,SC,VAC LAND COMM. < ACRE,201033800,810,2010,Spring,VL1743EN,5,7631,3,Eastern North,,292,5,Darrell L. Clarke,"1654-1658 N 6TH STREET; 
602-604 CECIL B MOORE AVENUE",19122,778.305114746094,140.151857515445
27,1720003000,3000 W BERKS ST,CITY OF PHILADELPHIA, ,SR,VAC LAND RES < ACRE,323023801,1178,2007,Spring,VL1085NC,4,3300,0,North Central,,276,5,Darrell L. Clarke,"3000 W BERKS STREET; 3001-3003 EUCLID AVENUE",19121,1176.30828857422,184.664536049824
28,2201002913,2913 CECIL B MOORE AVE,THOMAS HOLLINGER, ,SR,VAC LAND RES < ACRE,324053400,1047,2003,Spring,VL0189NCSM,8,11477,0,North Central,,276,5,Darrell L. Clarke,2901-2915 CECIL B MOORE AVENUE,19121,1047.13806152344,177.850186716736
29,7568000902,902 W SUSQUEHANNA AVE,BURROUGHS SHIRLEY, ,SR,VAC LAND RES < ACRE,201097900,960,2007,Spring,VL1064NC,8,8315,0,Eastern North,,278,5,Darrell L. Clarke,"900-912 W SUSQUEHANNA AVENUE; 2156 N 9TH STREET",19122,960.835693359375,165.065028252899
30,8793002220,2220 N 07TH ST,PARK ASSOCIATES INC, ,SR,VAC LAND RES < ACRE,371065700,1033,2015,Fall,VL3133EN_R_CLP,13,13000,0,Eastern North,,278,5,Darrell L. Clarke,"2220-44 N 7TH ST; 2243-51 N FRANKLIN ST",19133,1057.87731933594,164.908438595573
31,8793002150,2150 N 07TH ST,CITY OF PHILA,DEPT OF PUBLIC PROP,SR,VAC LAND RES < ACRE,202035601,981,2011,Spring,VL1960EN,3,3483,1,Eastern North,,278,5,Darrell L. Clarke,2150-2154 N 7TH STREET,19122,1000.19738769531,168.139125410988
32,8840001748,1748 N 31ST ST,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,324196901,883,2004,Spring,VL0328NC,1,4294,4,North Central,,276,5,Darrell L. Clarke,1748 N 31ST STREET,19121,883.498657226563,141.380444972444
33,5676000535,535 W MONTGOMERY AVE,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,183030601,992,2008,Fall,VL1557EN,11,10713,7,Eastern North,,292,7,Maria Quinones-Sanchez,523-543 W MONTGOMERY AVENUE,19122,997.479675292969,157.259551383755
34,4318001502,1502 N HOLLYWOOD ST,BENNETT EPHRAIM R, ,SR,VAC LAND RES < ACRE,292259300,770,2014,Fall,VL2971NC_CLP,3,2332,0,North Central,,290,5,Darrell L. Clarke,1500-04 N Hollywood St,19121,807.208801269531,133.936400817119
35,5676000525,525 W MONTGOMERY AVE,LEROY BETHEA,MARY E,SR,VAC LAND RES < ACRE,183030110,992,2008,Fall,VL1557EN,11,10713,7,Eastern North,,292,7,Maria Quinones-Sanchez,523-543 W MONTGOMERY AVENUE,19122,1016.09649658203,158.666798409892
36,5964001700,1700 N NEWKIRK ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,VAC LAND RES < ACRE,324158601,784,2015,Fall,VL3238NC_CLP,2,1473,0,NORTH CENTRAL,,276,5,Darrell L. Clarke,1700-02 N NEWKIRK ST,19121,794.915588378906,130.205906693633
37,8795001934,1934 N 08TH ST,PHILA HOUSING AUTHORITY, ,SR,VAC LAND RES < ACRE,202112201,976,2007,Fall,VL0278EN_R,4,26461,3,Eastern North,,278,5,Darrell L. Clarke,"1920-1960 N 8TH STREET; 1959-1961 N DARIEN STREET; 
802-804 W NORRIS STREET",19122,1017.36828613281,151.949909284715
38,8795001956,1956 N 08TH ST,ABDOU MOSTAFA, ,SR,VAC LAND RES < ACRE,202113300,1073,2007,Fall,VL0278EN_R,4,26461,3,Eastern North,,278,5,Darrell L. Clarke,"1920-1960 N 8TH STREET; 1959-1961 N DARIEN STREET; 
802-804 W NORRIS STREET",19122,1042.52801513672,166.117979640421
39,8793002136,2136 N 07TH ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,202034901,1018,2011,Spring,VL1958EN,6,6885,3,Eastern North,,278,5,Darrell L. Clarke,2126-2136 N 7TH STREET,19122,1031.66491699219,172.847077422342
40,8791002102,2102 N 06TH ST,POTTER STEPHEN, ,SR,VAC LAND RES < ACRE,201119000,1375,2002,Fall,VL0040,4,7596,0,Eastern North,,278,5,Darrell L. Clarke,"2100-2104 N 6TH STREET; 611-613 W DIAMOND STREET",19122,1375.95574951172,213.272575557338
41,5964001924,1924 N NEWKIRK ST,HELEN MC GINLEY S/W, ,SR,VAC LAND RES < ACRE,323221800,618,2016,Fall,VL3497NC_CLP,2,1220,0,NORTH CENTRAL,,276,5,Darrell L. Clarke,1924-1926 N NEWKIRK ST,19121,618.8076171875,121.981988372303
42,8840001843,1843 N 31ST ST, , ,SR, ,323282401,0,2004,Spring,VL0362NC,11,9600,6,North Central,,276,5,Darrell L. Clarke,1827-1849 N 31ST STREET,19121,1409.12066650391,211.900149792304
43,6212003227,3227 W OXFORD ST,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,324012701,1185,2011,Spring,VL1835NC_R,8,9814,2,North Central,,276,5,Darrell L. Clarke,"1601-1607 N 33RD STREET; 3225-31 W OXFORD SREET",19121,1185.33343505859,191.267470109417
44,5386002314,2314 N MARSHALL ST,PHILA REDEVELOPMENT AUTH, ,SR,VAC LAND RES < ACRE,371050000,1273,2010,Spring,VL1738EN,4,4335,1,Eastern North,,278,5,Darrell L. Clarke,2310-2316 MARSHALL STREET,19133,1317.1650390625,196.777533465155
45,2804002201,2201 N DELHI ST,SAUNDERS MARVIN SPENCER, ,SR,VAC LAND RES < ACRE,371137200,635,2007,Spring,VL1112NC,5,5862,4,Eastern North,,278,5,Darrell L. Clarke,"911-915 W SUSQUEHANNA AVENUE; 2201-2203 N DELHI STREET",19133,642.134704589844,119.017118798829
46,8795002201,2201 N 08TH ST,EVA PEARL INC,A PENNA CORP,SR,VAC LAND RES < ACRE,371096100,1181,2004,Fall,VL0532EN,7,8496,0,Eastern North,,278,5,Darrell L. Clarke,"2201-2211 N 8TH STREET; 2200 N FRANKLIN ST",19133,1206.02618408203,173.209562356181
47,3498002133,2133 N FRANKLIN ST,HARMON TANYA A, ,SR,VAC LAND RES < ACRE,202052100,920,2004,Fall,VL0536EN,2,1755,0,Eastern North,,278,5,Darrell L. Clarke,2131-2133 N FRANKLIN STREET,19122,915.945068359375,157.810898581476
48,7568000924,924 W SUSQUEHANNA AVE,MURRAY MARY, ,SR,VAC LAND RES < ACRE,201098800,990,2007,Spring,VL1066NC,4,4090,0,Eastern North,,278,5,Darrell L. Clarke,920-926 W SUSQUEHANNA AVENUE,19122,948.100524902344,162.195354659992
49,2201002842,2842 CECIL B MOORE AVE,GRAY DEANA, ,Y50,STR/OFF+APTS 3STY MASONRY,871146550,1103,2008,Fall,VL1529NC,2,2117,1,North Central,,276,5,Darrell L. Clarke,2836-2838 CECIL B MOORE AVENUE,19121,1098.26092529297,176.091719737798
50,5676000527,527 W MONTGOMERY AVE,KUTZBAK JOHN, ,SR,VAC LAND RES < ACRE,183030200,992,2008,Fall,VL1557EN,11,10713,7,Eastern North,,292,7,Maria Quinones-Sanchez,523-543 W MONTGOMERY AVENUE,19122,1033.90856933594,158.886761064775
51,5964001926,1926 N NEWKIRK ST,CITY OF PHILA,DEPT OF PUBLC PROP,SR,VAC LAND RES < ACRE,323221901,707,2016,Fall,VL3497NC_CLP,2,1220,0,NORTH CENTRAL,,276,5,Darrell L. Clarke,1924-1926 N NEWKIRK ST,19121,707.635864257813,125.628492720517
52,8840001756,1756 N 31ST ST, , ,SR, ,324197301,0,2004,Spring,VL0329NC,1,4294,4,North Central,,276,5,Darrell L. Clarke,1748 N 31ST STREET,19121,1029.57012939453,146.956657396725
53,8793002224,2224 N 07TH ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,371065901,1033,2015,Fall,VL3133EN_R_CLP,13,13000,0,Eastern North,,278,5,Darrell L. Clarke,"2220-44 N 7TH ST; 2243-51 N FRANKLIN ST",19133,1061.40002441406,164.994839221886
54,8797002124,2124 N 09TH ST,CITY OF PHILA, ,O50,VAC LAND RES < ACRE,202167001,784,2015,Fall,VL3159EN_CLP,3,2856,0,CHOICE NEIGHBORHOOD,,278,5,Darrell L. Clarke,2122-26 N 09TH ST,19122,799.464416503906,140.314514382715
55,6828002410,2410 RIDGE AVE,RAINEY IRA, ,SC,VAC LAND COMM. < ACRE,291278600,1440,2004,Spring,VL0318NC,2,17912,0,North Central,,276,5,Darrell L. Clarke,2408-2422 RIDGE AVENUE,19121,1455.798828125,196.776830214352
56,5386002212,2212 N MARSHALL ST,LUKE RAINEY, ,SR,VAC LAND RES < ACRE,371048600,1272,2015,Fall,VL3166EN_CLP,14,29000,0,CHOICE NEIGHBORHOOD,,278,5,Darrell L. Clarke,"2203-2219 N 7TH ST; 2200-2218 MARSHALL ST",19133,1282.70922851563,182.675547739466
57,5676002407,2407 W MONTGOMERY AVE,SMITH ROLAND TERRELL,SMITH TUNISHA RENEE,SR,VAC LAND RES < ACRE,322214100,1105,2010,Spring,VL1786NC,22,13701,10,North Central,,276,5,Darrell L. Clarke,"1800-1828 N 24TH STREET;  2403-2415 W MONTGOMERY AVENUE",19121,1145.15478515625,178.983469283881
58,8793002212,2212 N 07TH ST,THOMAS GILLIARD,ROXANNA,SR,VAC LAND RES < ACRE,371065300,1027,2011,Spring,VL1963EN,5,5476,1,Eastern North,,278,5,Darrell L. Clarke,2206-2214 N 7TH STREET,19133,1066.20935058594,169.061013592155
59,6828002414,2414 RIDGE AVE,62015 INC, ,SC,VAC LAND COMM. < ACRE,291278800,1110,2004,Spring,VL0318NC,2,17912,0,North Central,,276,5,Darrell L. Clarke,2408-2422 RIDGE AVENUE,19121,1110.67077636719,188.099727607494
60,2076002700,2700 W CABOT ST,PHILADELPHIA LAND BANK, ,SR,VAC LAND RES < ACRE,292033500,688,2006,Fall,VL0889BR-A,2,2000,3,North Central,,290,5,Darrell L. Clarke,2700-2702 W CABOT STREET,19121,693.751953125,132.592639247211
61,8840001709,1709 N 31ST ST,REDEVELOPMENT AUTH PHILA, ,SR,VAC LAND RES < ACRE,324194201,1669,2003,Spring,VL0192NCSM,10,13472,13,North Central,,276,5,Darrell L. Clarke,"1709-1721, 1727-1731 N 31ST STREET; 3100 CLIFFORD STREET",19121,956.37158203125,149.578851225637
62,1720000541,541 W BERKS ST,PHILA HOUSING AUTHORITY, ,SR,VAC LAND RES < ACRE,183189601,893,2001,Spring,VL0042,4,3850,10,Eastern North,,278,7,Maria Quinones-Sanchez,537-543 W BERKS STREET,19122,893.596313476563,149.941989874997
63,8840001810,1810 N 31ST ST, , ,SR, ,323289600,0,2004,Spring,VL0325NC,5,6480,6,North Central,,276,5,Darrell L. Clarke,1802-1810 N 31ST STREET,19121,1408.55554199219,189.207204741681
64,5676002421,2421 W MONTGOMERY AVE,JENNIE MADISON, ,SR,VAC LAND RES < ACRE,322214800,1168,2010,Spring,VL1785NC,3,3648,0,North Central,,276,5,Darrell L. Clarke,2419-2423 W MONTGOMERY AVENUE,19121,1169.78240966797,182.627899195912
65,8834001455,1455 N 28TH ST,BROWN EARL, ,SR,VAC LAND RES < ACRE,292095300,999,2006,Fall,VL0892BR-A,5,5656,4,North Central,,290,5,Darrell L. Clarke,"1451-55, 1461-63 N 28TH ST",19121,1030.71105957031,172.00818233965
66,7568000911,911 W SUSQUEHANNA AVE,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,371303801,1508,2007,Spring,VL1112NC,5,5862,4,Eastern North,,278,5,Darrell L. Clarke,"911-915 W SUSQUEHANNA AVENUE; 
2201-2203 N DELHI STREET",19133,1503.60070800781,222.954516132949
67,8836001707,1707 N 29TH ST,BRICK AND MORTAR LLC, ,SR,VAC LAND RES < ACRE,324176900,1048,2006,Fall,VL0925BR-C,3,2924,0,North Central,,276,5,Darrell L. Clarke,1705-1709 N 29TH STREET,19121,1048.71514892578,162.363964218973
68,5394001641,1641 N MARSTON ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,VAC LAND RES < ACRE,324139301,1200,2016,Spring,VL3280NC_CLP,4,5071,0,NORTH CENTRAL,,276,5,Darrell L. Clarke,"2712-16 CECIL B MOORE AVE; 1641 MARSTON",19121,1220.02416992188,224.556698922819
69,3498002101,2101 N FRANKLIN ST,KIBLER JOHN R, ,SR,VAC LAND RES < ACRE,202050500,1110,2013,Spring,VL2304EN,2,2275,2,Eastern North,,278,5,Darrell L. Clarke,2101-2103 N FRANKLIN STREET,19122,1106.13433837891,163.717548790733
70,8826001801,1801 N 24TH ST,MURRY ARNOLD SR, ,S50,VAC LAND RES < ACRE,322140400,1040,2008,Spring,VL1358NC,5,4685,6,North Central,,277,5,Darrell L. Clarke,"1801-1803 N 24TH STREET; 1800-1804 N BUCKNELL STREET",19121,1067.63562011719,163.634199327529
71,5676002415,2415 W MONTGOMERY AVE,ROBINSON ADOPHNEY, ,SR,VAC LAND RES < ACRE,322214500,1105,2010,Spring,VL1786NC,22,13701,10,North Central,,276,5,Darrell L. Clarke,"1800-1828 N 24TH STREET;  2403-2415 W MONTGOMERY AVENUE",19121,1123.11431884766,178.741278732066
72,1720003032,3032 W BERKS ST,ALEXANDER EDWARD J, ,SR,VAC LAND RES < ACRE,323025400,1121,2004,Spring,VL0334NC,16,15811,8,North Central,,276,5,Darrell L. Clarke,"3008-3016; 3020-3038 W Berks Street",19121,1088.11639404297,181.812847334681
73,8840001833,1833 N 31ST ST, , ,SR, ,323281900,0,2004,Spring,VL0362NC,11,9600,6,North Central,,276,5,Darrell L. Clarke,1827-1849 N 31ST STREET,19121,1413.27587890625,212.463695484305
74,2382003101,3101 CLIFFORD ST,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,324066901,1563,2011,Spring,VL1929NC,2,3680,2,North Central,,276,5,Darrell L. Clarke,3101-3103 W CLIFFORD STREET,19121,1563.60125732422,216.615394912776
75,8832001408,1408 N 27TH ST,CITY OF PHILA,DEPT OF PUBLC PROP,SR,VAC LAND RES < ACRE,292060010,608,2006,Fall,VL0885BR-A,7,4400,5,North Central,,290,5,Darrell L. Clarke,1406-1418 N 27TH STREET,19121,590.566955566406,106.561816884523
76,5386002214,2214 N MARSHALL ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,371048701,1272,2015,Fall,VL3166EN_CLP,14,29000,0,CHOICE NEIGHBORHOOD,,278,5,Darrell L. Clarke,"2203-2219 N 7TH ST; 2200-2218 MARSHALL ST",19133,1272.15948486328,182.193581094756
77,5386001709,1709 N MARSHALL ST,LUCILLE BRANCH, ,SR,VAC LAND RES < ACRE,201127200,804,2011,Spring,VL1973EN,5,3657,2,Eastern North,,292,5,Darrell L. Clarke,1703-1711 N MARSHALL STREET,19122,804.435852050781,135.487268989769
78,1720003100,3100 W BERKS ST,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,323026400,1120,2004,Spring,VL0335NC,2,2145,7,North Central,,276,5,Darrell L. Clarke,"3101 EUCLID AVENUE; 3100 W BERKS STREET",19121,1152.44061279297,174.134197420432
79,8793001926,1926-28 N 07TH ST,PHILA HOUSING AUTHORITY, ,N50,S/D CON.APT 3STY MASONRY,202031901,5017,2009,Spring,VL1658EN,3,6390,0,Eastern North,,278,5,Darrell L. Clarke,1922-1926 N 7TH STREET,19122,5017.55712890625,298.869535224605
80,8826001813,1813 N 24TH ST,AVILA MANUEL ALVAREZ, ,O50,VAC LAND RES < ACRE,322141000,952,2010,Spring,VL1788NC,2,2025,2,North Central,,277,5,Darrell L. Clarke,1813-1815 N 24TH STREET,19121,970.360046386719,161.075682496394
81,8840001750,1750 N 31ST ST,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,324197000,813,2004,Spring,VL0328NC,1,4294,4,North Central,,276,5,Darrell L. Clarke,1748 N 31ST STREET,19121,839.090637207031,139.988726206615
82,3236003000,3000 EUCLID AVE,KDM PHA LLC, ,O50,VAC LAND RES < ACRE,323012102,920,2007,Spring,VL1085NC,4,3300,0,North Central,,276,5,Darrell L. Clarke,"3000 W BERKS STREET; 3001-3003 EUCLID AVENUE",19121,920.571411132813,147.189652305504
83,8793002122,2122 N 07TH ST,LEONARD WASHINGTON S/M, ,SR,VAC LAND RES < ACRE,202034200,1047,2011,Spring,VL1957EN,2,2072,1,Eastern North,,278,5,Darrell L. Clarke,2120-2122 N 7TH STREET,19122,1014.68505859375,175.717327206408
84,6828002422,2422 RIDGE AVE,MICKENS ARTHUR ET AL, ,SC,VAC LAND COMM. < ACRE,291279200,2082,2004,Spring,VL0318NC,2,17912,0,North Central,,276,5,Darrell L. Clarke,2408-2422 RIDGE AVENUE,19121,1982.30102539063,257.817084980055
85,2201002901,2901 CECIL B MOORE AVE,JUNG JIN WOO,LIM JOON MO,SR,VAC LAND RES < ACRE,324052800,1131,2003,Spring,VL0189NCSM,8,11477,0,North Central,,276,5,Darrell L. Clarke,2901-2915 CECIL B MOORE AVENUE,19121,1183.74237060547,181.558900232039
86,1720003028,3028 W BERKS ST,CHARLES H BELL,ELEANOR,SR,VAC LAND RES < ACRE,323025200,1121,2004,Spring,VL0334NC,16,15811,8,North Central,,276,5,Darrell L. Clarke,"3008-3016; 3020-3038 W Berks Street",19121,1101.13140869141,181.794572597245
87,3498002104,2104 N FRANKLIN ST,MARVIN A BROWN, ,SR,VAC LAND RES < ACRE,202071300,991,2015,Fall,VL3174EN_CLP,2,2176,0,CHOICE NEIGHBORHOOD,,278,5,Darrell L. Clarke,2104-06 N FRANKLIN ST,19122,976.843994140625,168.220069971681
88,2736001960,1960 N DARIEN ST,GONZALEZ ELSIE M, ,SR,VAC LAND RES < ACRE,202139600,528,2004,Spring,VL0279EN,20,26655,0,Eastern North,,278,5,Darrell L. Clarke,"1942-1944; 1948-1950; 1956-1960 N DARIEN STREET; 
806-818 W NORRIS STREET; 1933*",19122,523.972473144531,111.164813510534
89,3498002251,2251 N FRANKLIN ST,CHARLES A HARRIS,BEATRICE E,O30,ROW 2 STY MASONRY,371079100,1110,2015,Fall,VL3133EN_R_CLP,10,7920,0,CHOICE NEIGHBORHOOD,,278,5,Darrell L. Clarke,"2220-44 N 7TH ST; 2243-51 N FRANKLIN ST",19133,1115.19006347656,151.138813309173
90,5676002411,2411 W MONTGOMERY AVE,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,322214301,1105,2010,Spring,VL1786NC,22,13701,10,North Central,,276,5,Darrell L. Clarke,"1800-1828 N 24TH STREET;  2403-2415 W MONTGOMERY AVENUE",19121,1135.62548828125,179.072784388016
91,7568000914,914-18 W SUSQUEHANNA AVE,WILKERSON DONALD, ,SR,VAC LAND RES < ACRE,201098500,3604,2007,Spring,VL1065NC,3,3604,0,Eastern North,,278,5,Darrell L. Clarke,914-918 W SUSQUEHANNA AVENUE,19122,3590.86486816406,243.547410555197
92,8795002205,2205 N 08TH ST,ROBERT HYMUM 3RD,JACK TATUM,SR,VAC LAND RES < ACRE,371096300,1073,2004,Fall,VL0532EN,7,8496,0,Eastern North,,278,5,Darrell L. Clarke,"2201-2211 N 8TH STREET; 2200 N FRANKLIN ST",19133,1088.77966308594,170.549616166746
93,3498002247,2247 N FRANKLIN ST,CIZO PROPERTIES LLC, ,SR,VAC LAND COMM. < ACRE,371078901,1005,2015,Fall,VL3133EN_R_CLP,10,7920,0,CHOICE NEIGHBORHOOD,,278,5,Darrell L. Clarke,"2220-44 N 7TH ST; 2243-51 N FRANKLIN ST",19133,982.483703613281,163.600331491223
94,3072000522,522 EDGLEY ST,WILLIAMS EDWARD, ,SR,VAC LAND RES < ACRE,191386000,444,2016,Fall,VL3455EN_CLP,14,6940,3,EASTERN NORTH 2,,278,7,Maria Quinones-Sanchez,516-542 EDGLEY ST,19122,431.5634765625,97.317926653859
